60/61,22.speeldag,19 feb. 1961,15:00,Vervié,Stade Verviétois,2:2,RAFC,R Antwerp FC
60/61,22.speeldag,19 feb. 1961,15:00,Beers.,Royal Beerschot AC,2:1,DAR,Daring Club Brussel
60/61,22.speeldag,19 feb. 1961,15:00,Waters,Waterschei SV THOR (- 1988),0:2,KPaEis,K Patro Eisden
60/61,22.speeldag,19 feb. 1961,15:00,Associ,Association Royale Athlétique Gent,1:1,Lierse,Lierse SK (- 2018)
60/61,22.speeldag,19 feb. 1961,15:00,RFCL,RFC Luik,1:0,STVV,Sint-Truidense VV
60/61,22.speeldag,19 feb. 1961,15:00,Olympi,Olympic Charleroi,1:0,RUSG,Union Saint-Gilloise
60/61,22.speeldag,19 feb. 1961,15:00,RSCA,RSC Anderlecht,1:1,SL,Standard Luik
60/61,22.speeldag,19 feb. 1961,15:00,FCB,Club Brugge,2:2,Aalst,KSC Eendracht Aalst
60/61,23.speeldag,26 feb. 1961,15:00,Standard Luik,Standard Luik,1:0,Beers.,Royal Beerschot AC
60/61,23.speeldag,26 feb. 1961,15:00,Aalst,KSC Eendracht Aalst,1:1,Associ,Association Royale Athlétique Gent
60/61,23.speeldag,26 feb. 1961,15:00,Vervié,Stade Verviétois,0:2,RSCA,RSC Anderlecht
60/61,23.speeldag,26 feb. 1961,15:00,RAFC,R Antwerp FC,1:0,Waters,Waterschei SV THOR (- 1988)
60/61,23.speeldag,26 feb. 1961,15:00,FCB,Club Brugge,3:0,Olympi,Olympic Charleroi
60/61,23.speeldag,26 feb. 1961,15:00,RUSG,Union Saint-Gilloise,3:4,DAR,Daring Club Brussel
60/61,23.speeldag,26 feb. 1961,15:00,KPaEis,K Patro Eisden,1:3,RFCL,RFC Luik
60/61,23.speeldag,26 feb. 1961,15:00,STVV,Sint-Truidense VV,3:1,Lierse,Lierse SK (- 2018)
60/61,24.speeldag,,,5 mrt. 1961,15:00,Standard Luik,2:0,RUSG
60/61,24.speeldag,,,Union Saint-Gilloise,KPaEis,K Patro Eisden,3:1,Aalst
60/61,24.speeldag,,,KSC Eendracht Aalst,DAR,Daring Club Brussel,1:0,RSCA
60/61,24.speeldag,,,RSC Anderlecht,Lierse,Lierse SK (- 2018),2:2,RAFC
60/61,24.speeldag,,,R Antwerp FC,Beers.,Royal Beerschot AC,0:2,RFCL
60/61,24.speeldag,,,RFC Luik,STVV,Sint-Truidense VV,4:0,FCB
60/61,24.speeldag,,,Club Brugge,Associ,Association Royale Athlétique Gent,0:2,Vervié
60/61,24.speeldag,,,Stade Verviétois,Olympi,Olympic Charleroi,1:1,Waters
60/61,25.speeldag,,,26 mrt. 1961,15:00,Aalst,KSC Eendracht Aalst,2:2
60/61,25.speeldag,,,Olympi,Olympic Charleroi,RSCA,RSC Anderlecht,1:0
60/61,25.speeldag,,,Beers.,Royal Beerschot AC,RAFC,R Antwerp FC,2:0
60/61,25.speeldag,,,STVV,Sint-Truidense VV,Waters,Waterschei SV THOR (- 1988),2:1
60/61,25.speeldag,,,DAR,Daring Club Brussel,Vervié,Stade Verviétois,2:0
60/61,25.speeldag,,,KPaEis,K Patro Eisden,RUSG,Union Saint-Gilloise,2:1
60/61,25.speeldag,,,Associ,Association Royale Athlétique Gent,RFCL,RFC Luik,2:0
60/61,25.speeldag,,,Lierse,Lierse SK (- 2018),26 mrt. 1961,FCB,Club Brugge
60/61,26.speeldag,9 apr. 1961,15:00,Standard Luik,Standard Luik,2:0,RAFC,R Antwerp FC
60/61,26.speeldag,9 apr. 1961,15:00,DAR,Daring Club Brussel,0:0,Aalst,KSC Eendracht Aalst
60/61,26.speeldag,9 apr. 1961,15:00,Associ,Association Royale Athlétique Gent,3:1,RSCA,RSC Anderlecht
60/61,26.speeldag,9 apr. 1961,15:00,Beers.,Royal Beerschot AC,0:0,Waters,Waterschei SV THOR (- 1988)
60/61,26.speeldag,9 apr. 1961,15:00,Lierse,Lierse SK (- 2018),6:2,FCB,Club Brugge
60/61,26.speeldag,9 apr. 1961,15:00,KPaEis,K Patro Eisden,1:1,RUSG,Union Saint-Gilloise
60/61,26.speeldag,9 apr. 1961,15:00,Olympi,Olympic Charleroi,0:3,RFCL,RFC Luik
60/61,26.speeldag,9 apr. 1961,15:00,STVV,Sint-Truidense VV,1:0,Vervié,Stade Verviétois
60/61,27.speeldag,16 apr. 1961,15:00,Lierse,Lierse SK (- 2018),0:6,Standard Luik,Standard Luik
60/61,27.speeldag,16 apr. 1961,15:00,Waters,Waterschei SV THOR (- 1988),1:0,Aalst,KSC Eendracht Aalst
60/61,27.speeldag,16 apr. 1961,15:00,RSCA,RSC Anderlecht,3:0,RUSG,Union Saint-Gilloise
60/61,27.speeldag,16 apr. 1961,15:00,Olympi,Olympic Charleroi,2:0,RAFC,R Antwerp FC
60/61,27.speeldag,16 apr. 1961,15:00,Beers.,Royal Beerschot AC,3:2,KPaEis,K Patro Eisden
60/61,27.speeldag,16 apr. 1961,15:00,Associ,Association Royale Athlétique Gent,4:1,FCB,Club Brugge
60/61,27.speeldag,16 apr. 1961,15:00,DAR,Daring Club Brussel,0:3,STVV,Sint-Truidense VV
60/61,27.speeldag,16 apr. 1961,15:00,RFCL,RFC Luik,1:0,Vervié,Stade Verviétois
60/61,28.speeldag,23 apr. 1961,15:00,Standard Luik,Standard Luik,3:1,Associ,Association Royale Athlétique Gent
60/61,28.speeldag,23 apr. 1961,15:00,Aalst,KSC Eendracht Aalst,1:1,Beers.,Royal Beerschot AC
60/61,28.speeldag,23 apr. 1961,15:00,RAFC,R Antwerp FC,0:2,RSCA,RSC Anderlecht
60/61,28.speeldag,23 apr. 1961,15:00,FCB,Club Brugge,1:1,RFCL,RFC Luik
60/61,28.speeldag,23 apr. 1961,15:00,Vervié,Stade Verviétois,2:1,DAR,Daring Club Brussel
60/61,28.speeldag,23 apr. 1961,15:00,KPaEis,K Patro Eisden,2:2,Olympi,Olympic Charleroi
60/61,28.speeldag,23 apr. 1961,15:00,RUSG,Union Saint-Gilloise,4:4,Lierse,Lierse SK (- 2018)
60/61,28.speeldag,23 apr. 1961,15:00,STVV,Sint-Truidense VV,0:0,Waters,Waterschei SV THOR (- 1988)
60/61,29.speeldag,30 apr. 1961,15:00,Waters,Waterschei SV THOR (- 1988),1:1,Standard Luik,Standard Luik
60/61,29.speeldag,30 apr. 1961,15:00,RFCL,RFC Luik,3:1,Aalst,KSC Eendracht Aalst
60/61,29.speeldag,30 apr. 1961,15:00,RSCA,RSC Anderlecht,0:1,KPaEis,K Patro Eisden
60/61,29.speeldag,30 apr. 1961,15:00,Associ,Association Royale Athlétique Gent,1:2,RAFC,R Antwerp FC
60/61,29.speeldag,30 apr. 1961,15:00,Beers.,Royal Beerschot AC,3:0,RUSG,Union Saint-Gilloise
60/61,29.speeldag,30 apr. 1961,15:00,DAR,Daring Club Brussel,1:0,FCB,Club Brugge
60/61,29.speeldag,30 apr. 1961,15:00,Lierse,Lierse SK (- 2018),1:1,Vervié,Stade Verviétois
60/61,29.speeldag,30 apr. 1961,15:00,Olympi,Olympic Charleroi,1:2,STVV,Sint-Truidense VV
60/61,30.speeldag,7 mei 1961,15:00,Standard Luik,Standard Luik,7:0,DAR,Daring Club Brussel
60/61,30.speeldag,7 mei 1961,15:00,Aalst,KSC Eendracht Aalst,1:3,Lierse,Lierse SK (- 2018)
60/61,30.speeldag,7 mei 1961,15:00,FCB,Club Brugge,3:2,RSCA,RSC Anderlecht
60/61,30.speeldag,7 mei 1961,15:00,RAFC,R Antwerp FC,3:2,RFCL,RFC Luik
60/61,30.speeldag,7 mei 1961,15:00,STVV,Sint-Truidense VV,0:0,Beers.,Royal Beerschot AC
60/61,30.speeldag,7 mei 1961,15:00,KPaEis,K Patro Eisden,0:5,Associ,Association Royale Athlétique Gent
