60/61,29,30 apr. 1961,15:00,RFCL,RFC Luik,3,1,Aalst,KSC Eendracht Aalst
60/61,29,30 apr. 1961,15:00,RSCA,RSC Anderlecht,0,1,KPaEis,K Patro Eisden
60/61,29,30 apr. 1961,15:00,Associ,Association Royale Athl�tique Gent,1,2,RAFC,R Antwerp FC
60/61,29,30 apr. 1961,15:00,Beers.,Royal Beerschot AC,3,0,RUSG,Union Saint-Gilloise
60/61,29,30 apr. 1961,15:00,DAR,Daring Club Brussel,1,0,FCB,Club Brugge
60/61,29,30 apr. 1961,15:00,Lierse,Lierse SK (- 2018),1,1,Vervi�,Stade Vervi�tois
60/61,29,30 apr. 1961,15:00,Olympi,Olympic Charleroi,1,2,STVV,Sint-Truidense VV
60/61,30,7 mei 1961,15:00,Standard Luik,Standard Luik,7,0,DAR,Daring Club Brussel
60/61,30,7 mei 1961,15:00,Aalst,KSC Eendracht Aalst,1,3,Lierse,Lierse SK (- 2018)
60/61,30,7 mei 1961,15:00,FCB,Club Brugge,3,2,RSCA,RSC Anderlecht
60/61,30,7 mei 1961,15:00,RAFC,R Antwerp FC,3,2,RFCL,RFC Luik
60/61,30,7 mei 1961,15:00,STVV,Sint-Truidense VV,0,0,Beers.,Royal Beerschot AC
60/61,30,7 mei 1961,15:00,KPaEis,K Patro Eisden,0,5,Associ,Association Royale Athl�tique Gent
60/61,30,7 mei 1961,15:00,Vervi�,Stade Vervi�tois,0,0,Olympi,Olympic Charleroi
60/61,30,7 mei 1961,15:00,RUSG,Union Saint-Gilloise,0,1,Waters,Waterschei SV THOR (- 1988)
61/62,1,2 sep. 1961,19:30,Associ,Association Royale Athl�tique Gent,2,2,DAR,Daring Club Brussel
61/62,1,3 sep. 1961,15:00,Standard Luik,Standard Luik,1,1,Beers.,Royal Beerschot AC
61/62,1,3 sep. 1961,15:00,Lierse,Lierse SK (- 2018),2,3,Aalst,KSC Eendracht Aalst
61/62,1,3 sep. 1961,15:00,RSCA,RSC Anderlecht,6,1,Waters,Waterschei SV THOR (- 1988)
61/62,1,3 sep. 1961,15:00,RAFC,R Antwerp FC,3,1,RFCL,RFC Luik
61/62,1,3 sep. 1961,15:00,Cercle,Cercle Brugge,3,1,Diest,KFC Diest
61/62,1,3 sep. 1961,15:00,RUSG,Union Saint-Gilloise,1,2,FCB,Club Brugge
61/62,1,3 sep. 1961,15:00,STVV,Sint-Truidense VV,3,0,Olympi,Olympic Charleroi
61/62,2,10 sep. 1961,15:00,FCB,Club Brugge,3,2,Standard Luik,Standard Luik
61/62,2,10 sep. 1961,15:00,Aalst,KSC Eendracht Aalst,3,2,STVV,Sint-Truidense VV
61/62,2,10 sep. 1961,15:00,Diest,KFC Diest,0,3,RSCA,RSC Anderlecht
61/62,2,10 sep. 1961,15:00,DAR,Daring Club Brussel,1,4,RAFC,R Antwerp FC
61/62,2,10 sep. 1961,15:00,Beers.,Royal Beerschot AC,2,2,Lierse,Lierse SK (- 2018)
61/62,2,10 sep. 1961,15:00,RFCL,RFC Luik,3,0,Cercle,Cercle Brugge
61/62,2,10 sep. 1961,15:00,Waters,Waterschei SV THOR (- 1988),1,3,Associ,Association Royale Athl�tique Gent
61/62,2,10 sep. 1961,15:00,Olympi,Olympic Charleroi,1,0,RUSG,Union Saint-Gilloise
61/62,3,17 sep. 1961,15:00,Standard Luik,Standard Luik,1,1,DAR,Daring Club Brussel
61/62,3,17 sep. 1961,15:00,FCB,Club Brugge,1,0,Aalst,KSC Eendracht Aalst
61/62,3,17 sep. 1961,15:00,RAFC,R Antwerp FC,1,4,RSCA,RSC Anderlecht
